Feature,Mean_SHAP,Std_SHAP,Max_SHAP,Min_SHAP,Abs_Mean_SHAP,Positive_Count,Negative_Count,Zero_Count,Mean_Original_Value,Std_Original_Value,Correlation_SHAP_Original
SV Contact Area - Right,0.8577188,0.104730956,1.1801202,0.74175656,0.8577188,182,0,0,-0.03863516342249893,0.943797388242553,0.1315895403268359
Roadway Surface,-0.36957532,0.02442668,-0.29093698,-0.40929675,0.36957532,0,182,0,-0.20829695186263072,0.9089004770372504,-0.05655409936471865
Weather - Cloudy,0.31140304,0.022674154,0.33631372,0.22601525,0.31140304,182,0,0,0.1132111329582423,1.184538780288686,0.09046401426818738
SV Contact Area - Rear,0.14097723,0.13687497,0.19322526,-0.30401596,0.19366083,166,16,0,0.023686316824951283,1.0138472744183902,0.08723939354410727
Weather - Clear,0.16954802,0.0061165034,0.18839832,0.15228778,0.16954802,182,0,0,0.24634665383042867,0.9196518275627901,-0.16838944019546845
SV Were All Passengers Belted?,0.1039278,0.026868377,0.12595624,0.04956902,0.1039278,182,0,0,-0.11281501375453284,1.3684015712326532,-0.01639462990640146
Incident Time (24:00),0.015406603,0.13474639,0.3122224,-0.062448163,0.10039484,38,144,0,0.1287396116750094,1.0145795477653887,0.07225510207141479
Weather - Rain,0.08625807,0.026684565,0.1659709,0.06925173,0.08625807,182,0,0,-0.003965317782895779,0.990536382167366,-0.012974619340482264
SV Pre-Crash Movement,-0.084769726,0.021528604,-0.023836117,-0.105501905,0.084769726,0,182,0,0.05569857499000878,0.9654396208579182,0.09872105140022966
Roadway Type,-0.050528463,0.067427546,0.074452296,-0.1294398,0.08140191,53,129,0,0.24115682297813823,0.9310498407309442,0.062272924615405706
SV Any Air Bags Deployed?,-0.077818505,0.020262467,-0.023485562,-0.09230099,0.077818505,0,182,0,-0.5368306115002252,0.7188968296656633,0.4741219719319631
CP Any Air Bags Deployed?,-0.0747037,0.011173484,-0.033641547,-0.09518759,0.0747037,0,182,0,-0.5476867972028714,1.0505287431303303,0.23217912416432993
Driver / Operator Type,0.067492075,0.05541378,0.12786333,-0.017153807,0.07072191,148,34,0,0.7827758867919592,1.4073198843732584,-0.51455602797883
Weather - Snow,-0.069724195,0.00967272,-0.034331,-0.09052927,0.069724195,0,182,0,-0.0750737694102418,1.3877787807814457e-17,1.5766316283938025e-17
SV Contact Area - Front Right,0.046329513,0.0022441735,0.052237865,0.03946307,0.046329513,182,0,0,-0.1804662695926296,0.8814374792344889,0.0011493371063383375
Roadway Description,0.041959103,0.024809545,0.061920427,-0.015942717,0.045652337,155,27,0,-0.3467280542942908,0.8284069028290365,-0.8819886487294979
CP Pre-Crash Movement,-0.02551916,0.04464606,0.14672565,-0.08501643,0.04346602,16,166,0,-0.2847785230610886,1.0977945752911393,0.13879508619205597
SV Precrash Speed (MPH),0.039221443,0.01423556,0.055521287,-0.0051368806,0.039592326,167,15,0,-0.4400424365909132,0.682890087678399,0.026619579879364072
SV Contact Area - Front,-0.031816624,0.009656094,-0.004046412,-0.045595597,0.031816624,0,182,0,-0.40231874432481757,0.7256535162289647,0.1387636537369481
CP Was Vehicle Towed?,-0.031808026,0.0036486273,-0.018918233,-0.039555505,0.031808026,0,182,0,-0.5256991749454837,1.0353963147187286,0.06863557612102662
