Model,Class,Precision,Recall,F1,G_mean,AUC,Support
LR,0,0.18181818181818182,0.3333333333333333,0.23529411764705885,0.5623947713020444,0.9232954545454545,6
LR,1,0.21428571428571427,0.25,0.23076923076923075,0.4638856253622454,0.6447784810126582,24
LR,2,0.25,0.4,0.3076923076923077,0.6099942813304187,0.7215116279069768,10
LR,3,0.8842975206611571,0.781021897810219,0.8294573643410854,0.7335102639911545,0.7649635036496352,137
LR,4,0.16666666666666666,0.2,0.1818181818181818,0.4408517692897191,0.888135593220339,5
DT,0,0.3333333333333333,0.5,0.4,0.6949493114282116,0.7263257575757576,6
DT,1,0.40625,0.5416666666666666,0.46428571428571425,0.690311187700865,0.7386603375527426,24
DT,2,0.3333333333333333,0.5,0.4,0.686243566496721,0.7563953488372093,10
DT,3,0.8925619834710744,0.7883211678832117,0.8372093023255814,0.7487215380939962,0.7847526358475263,137
DT,4,0.2,0.2,0.20000000000000004,0.4421314578139635,0.5881355932203389,5
RF,0,0.5,0.5,0.5,0.7010544006903264,0.96875,6
RF,1,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.6485540554720156,0.8130274261603375,24
RF,2,0.09090909090909091,0.1,0.09523809523809525,0.3068974527617131,0.8133720930232557,10
RF,3,0.8489208633093526,0.8613138686131386,0.8550724637681159,0.6777664764457401,0.8296836982968371,137
RF,4,0.5,0.2,0.28571428571428575,0.4459484908564835,0.8598870056497175,5
XGB,0,0.42857142857142855,0.5,0.4615384615384615,0.6990252954195317,0.9289772727272727,6
XGB,1,0.5,0.5,0.5,0.6797244415612081,0.8433544303797469,24
XGB,2,0.2222222222222222,0.2,0.2105263157894737,0.4380187953915666,0.7825581395348837,10
XGB,3,0.852112676056338,0.8832116788321168,0.8673835125448027,0.6863280765861632,0.8285482562854825,137
XGB,4,0.0,0.0,0.0,0.0,0.8271186440677966,5
SVM,0,0.3333333333333333,0.5,0.4,0.6949493114282116,0.9422348484848484,6
SVM,1,0.4074074074074074,0.4583333333333333,0.4313725490196078,0.6418098092298283,0.7186181434599156,24
SVM,2,0.1875,0.3,0.23076923076923075,0.5266171108076045,0.8366279069767443,10
SVM,3,0.875,0.8175182481751825,0.8452830188679246,0.7258409559045639,0.794322789943228,137
SVM,4,0.5,0.2,0.28571428571428575,0.4459484908564835,0.8056497175141244,5
