Model,Class,Precision,Recall,F1,G_mean,AUC,Support
LR,0,0.3076923076923077,0.6666666666666666,0.42105263157894735,0.7953463129830662,0.9696969696969697,6
LR,1,0.25,0.20833333333333334,0.22727272727272727,0.4342290321025013,0.5688291139240506,24
LR,2,0.23809523809523808,0.5,0.3225806451612903,0.6734154528172214,0.6534883720930232,10
LR,3,0.865546218487395,0.7518248175182481,0.8046874999999999,0.6960670419184443,0.7746958637469586,137
LR,4,0.0,0.0,0.0,0.0,0.7457627118644068,5
DT,0,0.23076923076923078,0.5,0.3157894736842105,0.6867247695335513,0.8726325757575758,6
DT,1,0.38235294117647056,0.5416666666666666,0.44827586206896547,0.6853269262042684,0.7779535864978903,24
DT,2,0.3157894736842105,0.6,0.41379310344827586,0.7447490602818493,0.7520348837209303,10
DT,3,0.9339622641509434,0.7226277372262774,0.8148148148148148,0.7811651413767705,0.7963503649635035,137
DT,4,0.3,0.6,0.4,0.759125277171481,0.7548022598870058,5
RF,0,0.45454545454545453,0.8333333333333334,0.5882352941176471,0.8971757032065918,0.9857954545454546,6
RF,1,0.5263157894736842,0.4166666666666667,0.46511627906976744,0.6268432734356146,0.7579113924050633,24
RF,2,0.2857142857142857,0.6,0.3870967741935483,0.7400502811327425,0.7895348837209302,10
RF,3,0.8968253968253969,0.8248175182481752,0.8593155893536121,0.7658569721987056,0.824330900243309,137
RF,4,0.4,0.4,0.4000000000000001,0.6270728338742246,0.7841807909604519,5
XGB,0,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.7977240352174656,0.9772727272727273,6
XGB,1,0.45,0.375,0.4090909090909091,0.5906711479861625,0.7494725738396624,24
XGB,2,0.3333333333333333,0.5,0.4,0.686243566496721,0.7395348837209302,10
XGB,3,0.8992248062015504,0.8467153284671532,0.8721804511278195,0.7759566212238199,0.8301703163017031,137
XGB,4,0.16666666666666666,0.2,0.1818181818181818,0.4408517692897191,0.8158192090395481,5
SVM,0,0.2727272727272727,0.5,0.3529411764705882,0.6908492797077574,0.9611742424242424,6
SVM,1,0.3181818181818182,0.2916666666666667,0.30434782608695654,0.5137867196113045,0.741824894514768,24
SVM,2,0.25925925925925924,0.7,0.37837837837837834,0.7865142409154399,0.7238372093023256,10
SVM,3,0.9043478260869565,0.7591240875912408,0.8253968253968254,0.757337719736449,0.8142741281427412,137
SVM,4,0.14285714285714285,0.2,0.16666666666666666,0.43956835530216554,0.8192090395480227,5
